;composant_shiny;composant_dsfr;fichier;mis_a_jour
1;fluidPage;fluidPage_dsfr;fluidpage.html;non
2;column;column_dsfr;;non
3;fluidRow;fluidRow_dsfr;;non
4;actionButton;actionButton_dsfr;bouton.html;non
5;radioButtons;radioButtons_dsfr;radiobouton.html;non
6;updateRadioButtons;updateRadioButtons_dsfr;;non
7;radioGroupButtons;radioGroupButtons_dsfr;radiogroupbutton.html;oui
8;updateRadioGroupButtons;updateRadioGroupButtons_dsfr;;oui
9;;header_dsfr;entete.html;non
10;shinycssloaders::withSpinner();withSpinner_dsfr;;oui
11;selectInput;selectInput_dsfr;selectInput.html;oui
12;updateSelectInput;updateSelectInput_dsfr;;oui
13;modalDialog;modalDialog_dsfr;modalDialog.html;oui
14;;toggleSwitch_dsfr;toggleswitch.html;oui
15;;updateToggleSwitch_dsfr;;oui
16;navbarPage;navbarPage_dsfr;nav.html;oui
17;;navbarPanel_dsfr;nav-item.html;oui
18;checkboxGroupInput;checkboxGroupInput_dsfr;checkboxgroup.html;oui
19;updateCheckboxGroupInput;updateCheckboxGroupInput_dsfr;;oui
20;checkboxInput;checkboxInput_dsfr;checkbox.html;oui
21;updateCheckboxInput;updateCheckboxInput_dsfr;;oui
22;numericInput;numericInput_dsfr;numericinput.html;oui
23;updateNumericInput;updateNumericInput_dsfr;;oui
24;tabsetPanel;tabSetPanel_dsfr;tabSetPanel.html;oui
25;;tabPanel_dsfr;tabBody.html;oui
26;sliderInput;sliderInput_dsfr;;oui
27;updateSliderInput;updateSliderInput_dsfr;;oui
28;modalDialog;modalDialog_dsfr;modalDialog.html;oui
29;showModal;showModal_dsfr;;oui
30;removeModal;removeModal_dsfr;;oui
